check-out, 113, 12, 111, madhav, 32, M, 2022-12-28, 17:43:03, 10000, card, 1
check-out, 112, 6, 1011, sonia, 25, F, 2022-12-28, 18:16:24, 12000, card, 5
check-out, 110, 11, 1010, prakash, 34, M, 2022-12-28, 18:17:27, 15000, cash, 4
check-out, 108, 10, 1008, shyam, 24, M, 2022-12-28, 18:17:58, 18000, UPI, 3
check-in, 123, 11, 1023, rajesh, 50, M, 2022-12-28, 18:27:32, 18000, UPI, 3
check-out, 123, 11, 1023, rajesh, 50, M, 2022-12-28, 18:28:20, 18000, UPI, 3
check-in, 116, 10, 1011, sonia, 25, F, 2022-12-29, 23:40:50, 6000, UPI, 2
check-in, 120, 11, 1019, Nidhi, 50, F, 2022-12-29, 23:49:53, 0, FREE, 3
check-out, 112, 6, 1011, sonia, 25, F, 2022-12-29, 23:53:01, 12000, card, 5
check-out, 120, 11, 1019, Nidhi, 50, F, 2022-12-29, 23:55:07, 0, FREE, 3
